Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
Dunloe Castle,https://killarney.ie/listing/dunloe-castle,353647000000,-9.627419,52.059671,Kerry,Beaufort,Republic of Ireland,"Castle,Historic Houses and Castle"
Nowlan Park  Gaelic Stadium,http://www.kilkennygaa.ie,,-7.238554,52.656856,Kilkenny,Kilkenny City,Republic of Ireland,"Gaa,Activity Operator,Stadium,Sports Venue,Venue,Sports Venues"
Garfinny Bridge,https://dingle-peninsula.ie/component/zoo/item/garfinny-bridge.html,,-10.219193,52.140079,Kerry,Dingle,Republic of Ireland,Museums and Attraction
F. W. Sweny & Co. Ltd.,http://sweny.ie/site/,+353(0)858146713,-6.250578476,53.34188602,Dublin,Dublin City,Ireland,"Historic Houses and Castle,Literary Ireland,Food Shops,Shopping"
Fairbrook House Gardens,http://www.fairbrook-house.com,35351384657,-7.2640721,52.2397987,Waterford,,Ireland,"Historic Houses and Castle,Gardens,Garden,Ruins,Cafe,Food and Drink,Food Shops,Shopping,Tour"
Cork City Gaol Heritage Centre,http://www.corkcitygaol.com,353214000000,-8.49866322,51.89876292,Cork,Cork City,Republic of Ireland,"Covid Safety Charter,Historic Houses and Castle,Museums and Attraction,Food Shops,Shopping,Tour"
Secret Valley Wildlife Park,https://www.secretvalley.ie/,353539000000,-6.755552911,52.42707607,Wexford,Clonroche,Republic of Ireland,"Visitor Farm,Cafe,Food and Drink"
Dooneen Pier,,,-10.055502,51.648764,Cork,Kilcrohane,Republic of Ireland,Discovery Point
Toraigh (Tory Island),,,-8.231855662,55.26187815,Donegal,,Ireland,Discovery Point
Inishowen Maritime Museum & New Full Dome Planetarium,http://www.inishowenmaritime.com,353749000000,-6.9853301,55.2034315,Donegal,Greencastle,Ireland,"Covid Safety Charter,Craft,Shopping,Museums and Attraction,Cafe,Food and Drink,Food Shops"
Annagh Church,,353667000000,-9.742521,52.248165,Kerry,Blennerville,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Riversdale Barge Holidays,http://www.riversdaleholidays.com/,353720000000,-7.7950084,54.0294267,Leitrim,Ballinamore,Ireland,"Cruising,Activity Operator,River,Discovery Point,Boat,Tour"
Donaghmore Famine Workhouse Museum,http://donaghmoremuseum.ie,353868000000,-7.6125907,52.8770211,Laois,Donaghmore,Ireland,"Agriculture,Nature and Wildlife,Photography,Learning,Historic Houses and Castle,Museums and Attraction,Tour"
Goma Contemporary Gallery,https://www.facebook.com/gomawaterford,353872000000,-7.1052349,52.2594229,Waterford,,Ireland,Art Gallery
Manorhamilton Castle and Heritage Centre,http://www.manorhamilton.ie/directory/item/219-manorhamilton-castle,353863000000,-8.1789831,54.3071338,Leitrim,Manorhamilton,Ireland,"Historic Houses and Castle,Castle,Ruins,Tour"
Inch Island,,,-7.4599475,55.054828,Donegal,,Ireland,"Island,Offshore Island"
Blue Pool,,,-9.548521,51.748777,Cork,,Republic of Ireland,Discovery Point
Carrick-On-Suir Heritage Centre and Friary,https://tipperary.com/listings/carrick-on-suir-heritage-centre-friary,35351640200,-7.4131187,52.3466201,Tipperary,Carrickbeg,Ireland,"Tracing Your Ancestors,Church Abbey,Monastery,Churches,Abbeys and Monastery,Museums and Attraction"
Bantry Harbour,,,-9.4615996,51.679697,Cork,Bantry,Ireland,Embarkation Point
Blackrock Wetlands,http://visitblackrock.ie,+353(0)872077193,-6.375229765,53.95684318,Louth,Blackrock,Ireland,"Bird Watching,Nature and Wildlife,Walking,Natural Landscape"
The Music Makers of West Clare,http://www.themusicmakers.ie,353657000000,-9.4033314,52.8540133,Clare,,Ireland,"Covid Safety Charter,Learning,Museums and Attraction"
Dublin Writers Museum,http://www.writersmuseum.com,+353(0)18722077,-6.263985,53.354366,Dublin,,Republic of Ireland,"Craft,Shopping,Learning,Historic Houses and Castle,Museums and Attraction,Literary Ireland,Food Shops,Tour"
Jonathan Swift,,+353(0)16057700,-6.259186343,53.34465008,Dublin,Dublin City Centre,Republic of Ireland,Public Sculpture
Mountmellick Museum,https://www.facebook.com/mountmellickmuseumandconference,353579000000,-7.327450489,53.11209606,Laois,Irishtown,Republic of Ireland,"Craft,Shopping,Tracing Your Ancestors,Museums and Attraction,Cafe,Food and Drink,Food Shops"
Ballylarkin Abbey Freshford - Ballylarkin Church,"http://www.megalithicireland.com/Ballylarkin%20Church,%20Kilkenny.html",,-7.427511,52.722887,,,,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Casino Model Railway Museum,http://www.modelrailwaymuseum.ie ,35361711222,-6.1582704,53.4505763,Dublin,Malahide,Ireland,"Historic Houses and Castle,Museums and Attraction,Tour"
Ormond Castle,https://heritageireland.ie/places-to-visit/ormond-castle/,35351640787,-7.4071873,52.3453336,Tipperary,Carrickbeg,Ireland,"Covid Safety Charter,Photography,Learning,Walking,Historic Houses and Castle,Castle,Tour"
Sliabh An Iarainn Visitor Centre,http://leitrimtourism.com/products/sliabh-an-iarainn-visitors-centre,353720000000,-8.04021492,54.04758593,Leitrim,Drumshanbo,Republic of Ireland,Museums and Attraction
Nenagh Castle,https://www.nenagh.ie/places-of-interest/details/nenagh-castle,3536733850,-8.1982011,52.865009,Tipperary,Nenagh,Ireland,"Photography,Learning,Historic Houses and Castle,Castle,Public Park,Nature and Wildlife"
Fawnglass Loop,https://www.irishtrails.ie/trail/Clare-Island---Fawnglass-loop/143/,,-9.988141954,53.79245548,Mayo,Clare Island,Republic of Ireland,"Walking,Island,Offshore Island"
Bishops Palace Limerick Civic Trust,http://www.limerickcivictrust.ie,35361313399,-8.625267,52.670433,Limerick,Limerick City,Republic of Ireland,"Historic Houses and Castle,Museums and Attraction"
Emo Court Gardens,http://emocourt.ie,353579000000,-7.1968533,53.107194,Laois,Emo,Ireland,"Gardening,Nature and Wildlife,Photography,Learning,Walking,Historic Houses and Castle,Gardens,Garden,Natural Landscape,Cafe,Food and Drink"
Jenkinstown Wood Loop,http://www.irishtrails.ie/Trail/Jenkinstown-Wood---Jenkinstown-Wood-loop/125/,,-7.284483484,52.73116958,Kilkenny,Kilkenny City,Ireland,"Walking,Natural Landscape"
James Joyce,http://www.talkingstatuesdublin.ie/statues/james-joyce/,+353(0)16057700,-6.259782198,53.3499184,Dublin,Dublin City,Republic of Ireland,"Public Sculpture,Talking Statue,Literary Ireland"
Ballycarbery Castle,https://www.theringofkerry.com/ballycarbery-castle,353647000000,-10.2586267,51.9489036,Kerry,Cahersiveen,Ireland,"Castle,Historic Houses and Castle,Ruins"
Belcarra Eviction Cottage,http://www.museumsofmayo.com/eviction-cottage/eviction-cottage-belcarra.html,353879000000,-9.2190281,53.8129006,Mayo,Castlebar,Ireland,Museums and Attraction
Avoca Mill,https://www.avoca.com/en/stores-and-cafes/village,35340235105,-6.210997,52.8613935,Wicklow,Avoca,Ireland,"Restaurant,Craft,Shopping,Food and Drink,Shopping Centres and Department Store,Museums and Attraction,Cafe,Vegetarian,Food Shops,Tour"
The Garden Hardymount House,http://www.carlowgardentrail.com/venue/hardymount-gardens/,+353(0)599151769,-6.7612269,52.798787,Carlow,Tullow,Republic of Ireland,"Gardens,Garden"
"Golden Strand, Achill Island Beach",http://www.blueflagireland.org/,+353(0)14002202,-10.00880856,53.95585687,Mayo,,Republic of Ireland,"Swimming,Swimming Pools and Water Park,Venue,Beach"
Corcomroe Cistercian Abbey,http://monastic.ie/history/corcomroe-cisterican-abbey,353657000000,-9.0540065,53.1268421,Clare,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Dooega Beach Achill Island  ,https://www.blueflag.global/show-site?siteId=6673,35314002202,-10.0206359,53.9213832,Mayo,,Ireland,"Bird Watching,Nature and Wildlife,Swimming,Swimming Pools and Water Park,Venue,Beach"
Dunmore Gardens,http://dunmoregardens.ie,353838000000,-7.4216295,54.9542728,Donegal,Dunmore,Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
The Workhouse Famine & Heritage Centre,http://www.dunfanaghy.info/places/The-Workhouse/78,353749000000,-7.97699344,55.17987751,Donegal,Dunfanaghy,Republic of Ireland,"Museums and Attraction,Cafe,Food and Drink"
Whitestrand Doonbeg Beach,https://www.blueflag.global/show-site?siteId=6625,,-9.5512828,52.7479777,Clare,,Ireland,"Fishing,Angling,Kitesurfing,Windsurfing,Activity Operator,Surfing,Swimming,Swimming Pools and Water Park,Venue,Beach,Natural Landscape"
Clogherhead Beach,https://www.blueflag.global/show-site?siteId=6579,353429000000,-6.2344532,53.7885745,Louth,Clogher,Ireland,"Fishing,Angling,Kitesurfing,Windsurfing,Activity Operator,Surfing,Swimming,Swimming Pools and Water Park,Venue,Walking,Beach,Sports Venues"
Christ Church Cathedral,http://christchurchwaterford.com,35351858958,-7.1075534,52.2598798,Waterford,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Venue,Music"
Pontoon Pier,,,-9.8557878,51.655246,Cork,Castletownbere,Ireland,Embarkation Point
Gap of Mamore,,,-7.5012481,55.243401,Donegal,,Ireland,Discovery Point
Burren Free Range Pork Farm,http://burrenfreerangepork.com,353657000000,-9.19232726,52.98621011,Clare,Kilfenora,Ireland,"Agriculture,Nature and Wildlife,Learning,Visitor Farm,Activity Operator,Food Shops,Shopping"
Askeaton Castle and Franciscan Friary,http://monastic.ie/history/askeaton-franciscan-friary,35361392149,-8.975399,52.603892,Limerick,Askeaton,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Westport House & Grounds,https://www.westporthouse.ie,3539827766,-9.5353669,53.8006529,Mayo,Westport,Ireland,"Covid Safety Charter,Walking,Adventure Park,Activity Operator,Gardens,Garden,Historic Houses and Castle,Cafe,Food and Drink"
Marblehill,,,-7.9019326,55.176389,Donegal,Dunfanaghy,Ireland,Discovery Point
James Fort Kinsale,https://www.castles.nl/james-fort,353215000000,-8.5120806,51.6986056,Cork,,Ireland,"Ruins,Historic Houses and Castle"
The Sligo Way,https://sligowalks.ie/walks/the-sligo-way/,,-8.46535,54.2711,Sligo,,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk,Natural Landscape"
Central Arts and Exhibitions Centre,http://www.centralarts.ie,+353(0)864543246,-7.106192193,52.26069911,Waterford,Waterford City,Ireland,"Learning,Art Gallery,Activity Operator"
Bere Island,http://www.bereisland.net,+353(0)2775099,-9.86344539,51.63047154,Cork,,Republic of Ireland,"Bird Watching,Nature and Wildlife,Cycling,Fishing,Angling,Sailing,Activity Operator,Swimming,Swimming Pools and Water Park,Venue,Walking,Island,Offshore Island,Natural Landscape"
Athlumney Castle,http://www.discoverboynevalley.ie/boyne-valley-drive/heritage-sites/athlumney-castle-navan,353420000000,-6.675048,53.650359,Meath,Navan,Republic of Ireland,"Castle,Historic Houses and Castle"
Downpatrick Head,https://www.mayo-ireland.ie/en/towns-villages/ballycastle/activities/downpatrick-head.html,,-9.345262191,54.32799086,Mayo,Downpatrick,Ireland,Discovery Point
Achill Cycle Hub,http://www.irishtrails.ie/Trail/Achill-Cycle-Hub---Loop-1/1144/,+353(0)9847353,-9.990732595,53.96261007,Mayo,Cashel,Republic of Ireland,"Cycling,Island,Offshore Island"
Kanturk Castle,https://www.castles.nl/kanturk-castle,353214000000,-8.9027299,52.164382,Cork,Banteer,Ireland,"Castle,Historic Houses and Castle"
Findlater Church,,+353(0)18378600,-6.263976,53.35462,Dublin,Dublin City,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Whiddy Island,,,-9.50323505,51.69274356,Cork,Whiddy Island,Ireland,"Island,Offshore Island"
"Ballyboy House, Garden & Woodlands",https://www.garden.ie/gardenstosee/ballyboy-house/,+35352 7465297,-7.9712781,52.2823963,Tipperary,Clogheen,Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Castlemorris - Pheasant loop,http://www.irishtrails.ie,,-7.278881549,52.4705016,Kilkenny,Knocktopher,Ireland,"Walking,Natural Landscape"
St Brigid’s Cathedral & Round Tower,http://www.kildare.ie/heritage/details.asp?GCID=140,35345530672,-6.911371,53.1579272,Kildare,,Ireland,"Photography,Learning,Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery"
The Manor Gardens,https://www.discoverireland.ie/Arts-Culture-Heritage/the-manor-gardens/48219,,-9.057847354,51.68778695,Cork,Dunmanway,Republic of Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Fort Dunree Military Museum,http://www.dunree.pro.ie,353749000000,-7.5535056,55.1963666,Donegal,Buncrana,Ireland,"Covid Safety Charter,Kayaking,Activity Operator,Walking,Museums and Attraction,Cafe,Food and Drink"
Glenquin Castle,https://www.limerick.ie/discover/eat-see-do/history-heritage/historic-attractions/glenquin-castle,35361396255,-9.106741,52.3839379,Limerick,Glenquin,Ireland,"Castle,Historic Houses and Castle"
Francis Ledwidge Museum,http://www.francisledwidge.com,353420000000,-6.5274991,53.7071243,Meath,Slane,Ireland,"Covid Safety Charter,Learning,Historic Houses and Castle,Museums and Attraction,Tour"
Ha'penny Bridge,,,-6.263081,53.346307,Dublin,Dublin City Centre,Ireland,Public Sculpture
Black Church Print Studio,http://blackchurchprint.ie/,+353(0)16773629,-6.264056,53.345635,Dublin,,Republic of Ireland,"Craft,Shopping,Learning,Activity Operator,Art Gallery"
Ballybunion Beach,,,-9.6769166,52.511304,Kerry,Ballybunion,Ireland,Discovery Point
Saint Colman's Cathedral,https://cobhcathedralparish.ie,353215000000,-8.2936865,51.8514618,Cork,Kilgarvan,Ireland,"Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery"
Port Beach,https://www.blueflag.global/show-site?siteId=6579,353429000000,-6.25549658,53.83764919,Louth,Clogherhead,Republic of Ireland,"Photography,Learning,Swimming,Swimming Pools and Water Park,Venue,Walking,Beach,Sports Venues"
St Iberius Church,,,-6.4621424,52.3391991,Wexford,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Ardgillan Castle and Victorian Gardens,https://ardgillancastle.ie,35318492212,-6.1616584,53.5817894,Dublin,Balbriggan,Ireland,"Covid Safety Charter,Learning,Walking,Historic Houses and Castle,Castle,Gardens,Garden,Venue,Music,Cafe,Food and Drink,Local Produce,Restaurant,Tour"
Butler Gallery,https://www.butlergallery.ie,353568000000,-7.2491045,52.6537735,Kilkenny,Kilkenny City,Republic of Ireland,"Food and Drink,Restaurant,Learning,Photography,Art Gallery,Museums and Attraction,Cafe,Vegan,Vegetarian"
Limerick City Library,http://www.limerickcity.ie/library/,+353(0)61314668,-8.62316,52.665574,Limerick,Limerick City,Republic of Ireland,"Craft,Shopping,Learning,Tracing Your Ancestors,Museums and Attraction,Literary Ireland"
Aghaboe Abbey,,353579000000,-7.5140093,52.9222166,Laois,Aghaboe,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
Inish Beg Gardens,http://www.inishbeg.com/gardens-woodlands/,3532821745,-9.3438145,51.5250555,Cork,,Ireland,"Walking,Gardens,Garden"
Delta Sensory Gardens,http://deltasensorygardens.com/,353599000000,-6.9257981,52.8446785,Carlow,,Ireland,"Covid Safety Charter,Gardens,Garden,Cafe,Food and Drink,Food Shops,Shopping"
Mollie Moo’s Pet Farm,https://molliemoos.ie/,353877000000,-7.37065,53.4699713,Westmeath,Mullingar,Ireland,Visitor Farm
Músaem Chorca Dhuibhne - Corca Dhuibhne Regional Museum,http://www.westkerrymuseum.com,353669000000,-10.406184,52.166482,Kerry,Tralee,Republic of Ireland,"Museums and Attraction,Cafe,Food and Drink,Food Shops,Shopping,Tour"
Carrickmacross Workhouse,http://carrickmacrossworkhouse.com,353430000000,-6.7248991,53.9785998,Monaghan,Carrickmacross,Ireland,"Learning,Photography,Historic Houses and Castle,Museums and Attraction,Tour"
The Chimera Gallery,http://www.chimera-gallery.com,353878000000,-7.3434993,53.5251272,Westmeath,Mullingar,Ireland,Art Gallery
River Inny,http://www.fishinginireland.info,35318842600,-7.323131051,53.66843186,Dublin,Swords,Republic of Ireland,"Fishing,Angling,River,Discovery Point"
James Connolly,http://www.talkingstatuesdublin.ie/statues/connolly/,,-6.254645628,53.34874522,Dublin,,Ireland,"Public Sculpture,Talking Statue"
Dodd's Rock Beach,,,-6.213459105,52.663357,Wexford,Courtown,Republic of Ireland,"Swimming,Swimming Pools and Water Park,Venue,Walking,Beach"
Valentia Slate,https://www.facebook.com/ValentiaSlate/,353862000000,-10.3427468,51.9251401,Kerry,,Ireland,"Activity Operator,Natural Landscape,Tour"
Monasterboice High Cross and Round Tower,https://www.visitlouth.ie/explore-and-do/explore-louth/sacred-sites-louth/monasterboice-high-cross-and-round-tower.html,353420000000,-6.4177232,53.7777634,Louth,,Ireland,"Photography,Learning,Walking,Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Tour"
Sea View Garden,http://www.donegalgardentrail.com/site/?page_id=2322,353879000000,-8.2189111,54.6309781,Donegal,Dromore,Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
War Memorial Gardens,http://www.heritageireland.ie/en/dublin/warmemorialgardens/,+353(0)14757816,-6.292519,53.334912,Dublin,South Circular Road,Republic of Ireland,"Walking,Historic Houses and Castle,Gardens,Garden,Public Park,Nature and Wildlife,Tour"
Drewstown Woods - Girley Bog Loop,http://www.irishtrails.ie,+353(0)469248856,-6.933382333,53.67406282,Meath,Kells,Ireland,"Walking,Natural Landscape"
Trá na gCeann (Silver Strand),,,-9.1247356,53.250939,Galway,Barna,Ireland,Discovery Point
Phoenix Park,http://www.phoenixpark.ie,+353(0)18213021,-6.315418378,53.35573785,Dublin,Phoenix Park,Republic of Ireland,"Craft,Shopping,Cycling,Walking,Historic Houses and Castle,Gardens,Garden,Public Park,Nature and Wildlife,Venue,Sports Venues,Cafe,Food and Drink,Local Produce,Restaurant,Bike Rental,Tour,Food Shops"
Woodville Farm,https://woodvillefarm.webs.com/,353719000000,-8.5138054,54.2687167,Sligo,,Ireland,"Agriculture,Nature and Wildlife,Visitor Farm,Tour"
Abbeyleix Loops - Killamuck Bog,http://www.irishtrails.ie/Trail/Abbeyleix-Loops---Killamuck-Bog-loop/623/,,-7.353079203,52.90683053,Laois,Abbeyleix,Ireland,"Walking,Natural Landscape"
Cunnamore Pier,,,-9.424822,51.503928,,,,Embarkation Point
James Larkin,http://www.talkingstatuesdublin.ie/statues/larkin/,,-6.259937704,53.34907981,Dublin,Dublin City,Republic of Ireland,"Public Sculpture,Talking Statue"
Inis Meáin (Inishmaan) Seaport,,,-9.5879368,53.0894286,Galway,,Ireland,Discovery Point
Great Sugar Loaf Mountain,http://www.visitwicklow.ie,,-6.151,53.152,Wicklow,Kilmacanogue,Ireland,"Walking,Natural Landscape"
Schull Harbour,,,-9.5447695,51.524833,Cork,Schull,Ireland,Embarkation Point
Donegal Garden Trail,http://www.donegalgardentrail.com/,353880000000,-8.1102391,54.6537983,Donegal,,Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Magherabeg Beach ,https://www.blueflag.global/show-site?siteId=6656,353669000000,-10.0268528,52.2726675,Kerry,,Ireland,Beach
Roscommon Castle,https://www.visitroscommon.ie/roscommon-castle,353907000000,-8.1932598,53.635461,Roscommon,,Ireland,"Bird Watching,Nature and Wildlife,Castle,Historic Houses and Castle,Public Park,Ruins"
Collon House,http://www.collonhouse.com,353872000000,-6.4864,53.7782,Louth,Collon,Ireland,"Historic Houses and Castle,Castle,Gardens,Garden,Tour"
Lakemount Gardens,http://www.lakemountgarden.com,353868000000,-8.406242,51.924447,Cork,Glanmire,Republic of Ireland,"Gardens,Garden"
Ye Olde Hurdy-Gurdy Museum of Vintage Radio,https://hurdygurdyradiomuseum.wordpress.com,+353(0)868154189,-6.063619,53.38765,Dublin,Howth,Republic of Ireland,"Historic Houses and Castle,Museums and Attraction"
Granuaile Visitor Centre,https://www.irishtourist.com/things-to-do/granuaile-visitor-centre,3539866341,-9.809611,53.763985,Mayo,Louisburgh,Republic of Ireland,Museums and Attraction
Knock Shrine,http://www.knock-shrine.ie,+353(0)949388100,-8.918633603,53.79264249,Mayo,Knock,Republic of Ireland,"Covid Safety Charter,Walking,Church Abbey,Monastery,Churches,Abbeys and Monastery,Food Shops,Shopping"
Tír na Sí,http://www.tirnasi.com,353215000000,-8.3474797,52.0291372,Cork,Watergrasshill,Ireland,"Covid Safety Charter,Restaurant,Visitor Farm,Cafe,Food and Drink,Local Produce,Activity Operator"
Tours Of The Government Buildings,http://www.taoiseach.gov.ie,+353(0)16194116,-6.25366,53.338393,Dublin,Dublin City Centre,Republic of Ireland,"Historic Houses and Castle,Tour"
Irish Whiskey Museum,http://www.irishwhiskeymuseum.ie,+353(0)15250970,-6.259589373,53.34424924,Dublin,,Republic of Ireland,"Activity Operator,Museums and Attraction,Food and Drink,Pubs and Bar,Food Shops,Shopping,Tour"
Hyde Bridge Gallery,https://www.yeatssociety.com/,353719000000,-8.474933,54.272077,Sligo,Sligo Town,Republic of Ireland,"Craft,Shopping,Art Gallery"
Selskar Abbey,"http://www.megalithicireland.com/Selskar%20Abbey,%20Wexford.html",353864000000,-6.4653954,52.3414142,Wexford,,Ireland,"Photography,Learning,Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins"
Fore Abbey,https://heritageireland.ie/visit/places-to-visit/fore-abbey/,353450000000,-7.227154,53.683924,Westmeath,Fore,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
O'Driscoll Garden Centre,https://www.facebook.com/ODriscoll-Garden-Centre-449803402105043/,35350421636,-7.7973804,52.6702947,Tipperary,,Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Ballagh Studio,http://www.rosharvey.com/,353749000000,-7.2898999,55.3145175,Donegal,Ballagh,Ireland,"Craft,Shopping,Art Gallery"
Coolcarrigan House,http://www.coolcarrigan.ie,+353(0)45863527,-6.851319069,53.31908404,Kildare,Naas,Republic of Ireland,"Castle,Historic Houses and Castle"
Whitefriar Street Church,http://www.carmelites.ie,+353(0)14758821,-6.266452,53.339835,Dublin,,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Food Shops,Shopping"
Killary Monastic Site,,,-6.546373,53.707926,Meath,Slane,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Glanteenassig Wood,http://www.coillteoutdoors.ie,+353(0)667163378,-10.02929126,52.20570913,Kerry,Castlegregory,Republic of Ireland,"Bird Watching,Nature and Wildlife,Cycling,Fishing,Angling,Walking,Forest Park,Park and Forest Walk,Natural Landscape"
Drum Heritage Centre,http://www.drumheritage.ie,353852000000,-7.955041592,53.42005126,Westmeath,Drum,Republic of Ireland,"Learning,Tracing Your Ancestors,Museums and Attraction,Tour"
Cú Chulainn,http://www.talkingstatuesdublin.ie/statues/cu-chulainn/,,-6.260721,53.349349,Dublin,,Ireland,"Public Sculpture,Talking Statue,Cafe,Food and Drink,Food Shops,Shopping"
The Ballinglen Arts Foundation,http://ballinglenartsfoundation.org,3539643184,-9.3722143,54.2797392,Mayo,Ballycastle,Ireland,"Covid Safety Charter,Craft,Shopping,Photography,Learning,Art Gallery,Activity Operator,Tour"
Irish Working Sheepdogs,http://www.irishworkingsheepdogs.com/,353878000000,-6.3273762,53.0115036,Wicklow,,Ireland,"Agriculture,Nature and Wildlife,Visitor Farm"
Irish Theatre Summer School,http://www.gaietyschool.com,+353(0)16799277,-6.26073,53.3464,Dublin,Dublin City Centre,Republic of Ireland,"Learning,Activity Operator,Literary Ireland"
Rathvilly Garden Centre,http://www.carlowgardentrail.com/rathvilly-garden-centre/,353599000000,-6.6960481,52.8798345,Carlow,Rathvilly,Ireland,"Gardening,Nature and Wildlife,Shopping,Shopping Centres and Department Store,Gardens,Garden,Cafe,Food and Drink"
Gour Discovery Point,,,-9.9834134,51.6298431,Cork,,Ireland,Discovery Point
Moygara Castle,http://www.loughgaralakesandlegends.ie/lough-gara/moygara-castle,353719000000,-8.4751904,53.9718301,Sligo,,Ireland,"Castle,Historic Houses and Castle"
Kilgarvan Motor Museum,https://www.facebook.com/Kilgarvan-Motormuseum-708264642618370,353647000000,-9.434164,51.889134,Kerry,,Ireland,"Museums and Attraction,Cafe,Food and Drink,Tour"
Lullymore Heritage  & Discovery Park,https://www.lullymoreheritagepark.com,35345870238,-6.9503713,53.2701771,Kildare,,Ireland,"Covid Safety Charter,Learning,Museums and Attraction,Visitor Farm,Cafe,Food and Drink,Tour"
Angling at Jerpoint Park,http://jerpointpark.com/activities-events/fishing-2/,+353(0)866061449,-7.166836,52.512917,Kilkenny,Thomastown,Ireland,"Fishing,Angling,Activity Operator,Natural Landscape"
Skerries Mills,http://www.skerriesmills.ie,+353(0)18495208,-6.110148,53.574331,Dublin,Skerries,Republic of Ireland,"Covid Safety Charter,Craft,Shopping,Activity Operator,Museums and Attraction,Cafe,Food and Drink,Food Shops"
Kilmainham Gaol,http://kilmainhamgaolmuseum.ie/,+353(0)14535984,-6.30978111,53.34188988,Dublin,Kilmainham,Republic of Ireland,"Covid Safety Charter,Museums and Attraction,Cafe,Food and Drink,Tour"
Adare Franciscan Friary,http://www.adaremanor.com,35361396204,-8.779736133,52.55186692,Limerick,Adare,Republic of Ireland,"Photography,Learning,Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins"
The Mid Clare Way,https://www.sportireland.ie/outdoors/walking/trails/mid-clare-way,353657000000,-8.8990055,52.7606678,Clare,Newmarket,Ireland,"Walking,Natural Landscape"
Sea Life Aquarium Bray,https://www.visitsealife.com/bray/,35312866939,-6.098144047,53.20343423,Wicklow,Bray,Republic of Ireland,"Covid Safety Charter,Zoos and Aquarium"
